"manufacturer","mfr.division","carline","displacement","cylinders","transmission","city.fe","hwy.fe","gears","drive.system"
"BMW","Mini","MINI COOPER COUNTRYMAN ALL4",1.5,4,"Manual(M6)",22,32,6,"A"
"BMW","Mini","Mini Cooper S Clubman",2,4,"Auto(S8)",23,33,8,"F"
"BMW","Mini","Mini Cooper S Clubman",2,4,"Manual(M6)",22,31,6,"F"
"BMW","Mini","Mini Cooper S Clubman ALL4",2,4,"Auto(S8)",22,31,8,"A"
"BMW","Mini","Mini Cooper S Clubman ALL4",2,4,"Manual(M6)",21,30,6,"A"
"Nissan","NISSAN","ALTIMA",2.5,4,"Auto(AV)",27,39,1,"F"
"Nissan","NISSAN","ALTIMA",3.5,6,"Auto(AV-S7)",22,32,7,"F"
"Nissan","NISSAN","ALTIMA SR",2.5,4,"Auto(AV-S7)",26,37,7,"F"
"Nissan","NISSAN","MAXIMA",3.5,6,"Auto(AV-S7)",21,30,7,"F"
"Nissan","NISSAN","SENTRA",1.6,4,"Auto(AV-S7)",27,33,7,"F"
"Nissan","NISSAN","SENTRA",1.6,4,"Manual(M6)",26,32,6,"F"
"Nissan","NISSAN","SENTRA",1.8,4,"Auto(AV)",29,37,1,"F"
"Nissan","NISSAN","SENTRA",1.8,4,"Manual(M6)",27,35,6,"F"
"Rolls-Royce","Rolls-Royce Motor Cars Limited","Wraith",6.6,12,"Auto(S8)",12,19,8,"R"
"Subaru","Subaru","IMPREZA 4-Door",2,4,"Auto(AV-S7)",28,38,7,"A"
"Subaru","Subaru","IMPREZA SPORT 4-Door",2,4,"Auto(AV-S7)",27,36,7,"A"
"Subaru","Subaru","LEGACY",2.5,4,"Auto(AV-S6)",25,34,6,"A"
"Subaru","Subaru","LEGACY",3.6,6,"Auto(AV-S6)",20,28,6,"A"
"Toyota","TOYOTA","AVALON",3.5,6,"Auto(S6)",21,30,6,"F"
"Toyota","TOYOTA","AVALON HYBRID",2.5,4,"Auto(AV-S6)",40,39,6,"F"
"Toyota","TOYOTA","CAMRY",2.5,4,"Auto(S6)",24,33,6,"F"
"Toyota","TOYOTA","CAMRY",3.5,6,"Auto(S6)",21,30,6,"F"
"Toyota","TOYOTA","CAMRY HYBRID LE",2.5,4,"Auto(AV)",42,38,1,"F"
